Qty,Teil,Link
1,Raspberry Pi Pico / Orpheus Pico,
38,Cherry MX Switch,https://www.reichelt.de/de/de/shop/produkt/cherry_mx_red_rgb_-_tastenmodul-401645
2,Rotary Encoder Alps EC11,https://de.aliexpress.com/item/1005007644083514.html?spm=a2g0o.cart.0.0.17e14ae47lO4Ez&mp=1&pdp_npi=6%40dis%21EUR%21EUR%201.80%21EUR%201.79%21%21EUR%201.79%21%21%21%402103847817749947938835991ed4ca%2112000041630839431%21ct%21DE%217485920331%21%211%210%21&gatewayAdapt=glo2deu
45,SK6812MINI-E,https://de.aliexpress.com/item/1005005248164351.html
38,1N4148,https://www.reichelt.de/de/de/shop/produkt/schalt-diode_100_v_150_ma_do-35-1730
1,MCP23017-E/SO,https://www.reichelt.de/de/de/i-o-erweiterung-16bit-1-8-5v-seriell-i2c-so-28-mcp23017-e-so-p282743.html
1,PCM5100APWR,https://www.aliexpress.com/item/1005001555424851.html
1,ST7735R Display,https://de.aliexpress.com/w/wholesale-ST7735-1.8-TFT-display.html
1,3.5mm Audio Jack TRS,https://de.aliexpress.com/item/33029465106.html?spm=a2g0o.cart.0.0.17e14ae47lO4Ez&mp=1&pdp_npi=6%40dis%21EUR%21EUR%201.82%21EUR%201.79%21%21EUR%201.79%21%21%21%402103847817749947938835991ed4ca%2112000038224902314%21ct%21DE%217485920331%21%211%210%21&gatewayAdapt=glo2deu
2,Widerstand,
2,Widerstand,
38,Keycaps,https://de.aliexpress.com/item/1005007791365492.html?spm=a2g0o.cart.0.0.17e14ae47lO4Ez&mp=1&pdp_npi=6%40dis%21EUR%21EUR%206.43%21EUR%203.09%21%21EUR%203.09%21%21%21%402103847817749947938835991ed4ca%2112000057199872917%21ct%21DE%217485920331%21%212%210%21&gatewayAdapt=glo2deu
